Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
271,URI,Industrials,Trading Companies & Distributors,S&P 500,147.83,80,86,82,89
272,IPAR,Consumer Staples,Personal Products,S&P 600,147.54,80,61,78,71
273,GNW,Financials,Multi-line Insurance,S&P 600,147.45,80,10,25,37
274,RF,Financials,Regional Banks,S&P 500,146.82,80,63,62,76
275,NXRT,Real Estate,Residential REITs,S&P 600,146.54,80,79,80,49
276,WSR,Real Estate,Retail REITs,S&P 600,146.49,79,74,19,54
277,ZEUS,Materials,Steel,S&P 600,146.49,79,73,97,98
278,MRVL,Information Technology,Application Software,Nasdaq 100,145.44,79,81,79,23
279,ORCL,Information Technology,Application Software,S&P 500,143.53,79,77,84,41
280,INN,Real Estate,Hotel & Resort REITs,S&P 600,143.37,79,39,68,76
281,CHH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 400,143.28,79,51,54,37
282,BJ,Consumer Staples,Hypermarkets & Super Centers,S&P 400,143.08,79,87,53,14
283,XOM,Energy,Integrated Oil & Gas,S&P 500,142.86,79,46,68,48
284,MSEX,Utilities,Water Utilities,S&P 600,142.55,79,89,70,21
285,CRL,Health Care,Life Sciences Tools & Services,S&P 500,140.55,79,95,89,78
286,WMB,Energy,Oil & Gas Storage & Transportation,S&P 500,140.41,79,41,55,26
287,ABCB,Financials,Regional Banks,S&P 600,139.35,79,68,72,83
288,BRO,Financials,Insurance Brokers,S&P 500,136.03,79,64,40,28
289,EGBN,Financials,Regional Banks,S&P 600,134.76,79,73,75,69
290,YELP,Communication Services,Interactive Media & Services,S&P 400,134.3,78,60,71,74
291,AMG,Financials,Asset Management & Custody Banks,S&P 400,132.99,78,91,93,89
292,BSIG,Financials,Asset Management & Custody Banks,S&P 600,132.93,78,89,78,86
293,UMPQ,Financials,Regional Banks,S&P 400,132.76,78,73,61,60
294,SYF,Financials,Consumer Finance,S&P 500,132.37,78,79,85,72
295,AJG,Financials,Insurance Brokers,S&P 500,131.96,78,64,56,52
296,FOXA,Communication Services,Movies & Entertainment,S&P 500,131.46,78,49,49,43
297,PNC,Financials,Regional Banks,S&P 500,131.31,78,72,76,70
298,CDAY,Information Technology,Application Software,S&P 500,131.12,78,74,31,29
299,MMC,Financials,Insurance Brokers,S&P 500,130.71,78,75,63,33
300,FRC,Financials,Regional Banks,S&P 500,130.58,78,84,77,60
301,CSR,Real Estate,Residential REITs,S&P 600,130.19,78,83,68,6
302,POWI,Information Technology,Semiconductors,S&P 600,128.99,78,93,38,40
303,R,Industrials,Trucking,S&P 400,128.97,78,74,60,78
304,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500,128.21,77,47,58,67
305,FBK,Financials,Regional Banks,S&P 600,128.01,77,61,35,64
306,MTG,Financials,Reinsurance,S&P 400,127.24,77,71,55,78
307,ABG,Consumer Discretionary,Automotive Retail,S&P 600,126.56,77,77,73,91
308,BFS,Real Estate,Retail REITs,S&P 600,125.69,77,63,79,51
309,FRT,Real Estate,Retail REITs,S&P 500,124.21,77,65,75,54
310,CFG,Financials,Regional Banks,S&P 500,123.09,77,58,69,78
311,AGYS,Information Technology,Application Software,S&P 600,122.61,77,78,95,94
312,ANET,Information Technology,Communications Equipment,S&P 500,121.86,77,74,81,38
313,PRU,Financials,Life & Health Insurance,S&P 500,121.7,77,67,67,58
314,APTV,Consumer Discretionary,Auto Parts & Equipment,S&P 500,121.46,77,58,78,72
315,VECO,Information Technology,Semiconductor Equipment,S&P 600,121.28,77,67,72,79
316,CARR,Industrials,Building Products,S&P 500,121.05,77,88,83,78
317,SXI,Industrials,Industrial Machinery,S&P 600,120.84,76,68,54,68
318,ECPG,Financials,Consumer Finance,S&P 600,120.22,76,53,71,27
319,VSAT,Information Technology,Communications Equipment,S&P 400,120.08,76,70,61,28
320,NFBK,Financials,Thrifts & Mortgage Finance,S&P 600,119.4,76,73,65,59
321,IRM,Real Estate,Specialized REITs,S&P 500,118.67,76,76,80,46
322,SNV,Financials,Regional Banks,S&P 400,118.51,76,56,72,86
323,COHR,Information Technology,Electronic Equipment & Instruments,S&P 400,118.35,76,89,87,85
324,RYAM,Materials,Specialty Chemicals,S&P 600,116.73,76,42,48,99
325,RILY,Financials,Asset Management & Custody Banks,S&P 600,116.28,76,81,95,98
326,PLAY,Consumer Discretionary,Restaurants,S&P 600,115.14,76,70,83,97
327,SHOO,Consumer Discretionary,Footwear,S&P 600,115.12,76,67,80,76
328,EXPE,Consumer Discretionary,Internet & Direct Marketing Retail,S&P 500,114.52,76,48,76,88
329,AAT,Real Estate,Diversified REITs,S&P 600,114.49,76,65,69,38
330,AMAT,Information Technology,Semiconductor Equipment,S&P 500,114.28,76,93,91,92
331,CFX,Industrials,Industrial Machinery,S&P 400,114.21,75,50,57,56
332,SFNC,Financials,Regional Banks,S&P 600,113.29,75,66,52,59
333,PGNY,Health Care,Health Care Services,S&P 400,113.19,75,90,88,90
334,KBR,Industrials,Diversified Support Services,S&P 400,112.14,75,73,75,79
335,TALO,Energy,Oil & Gas Exploration & Production,S&P 600,111.17,75,63,68,53
336,BK,Financials,Asset Management & Custody Banks,S&P 500,110.88,75,63,58,38
337,SXC,Materials,Steel,S&P 600,110.62,75,54,81,83
338,SKYW,Industrials,Airlines,S&P 600,110.4,75,38,20,72
339,UCBI,Financials,Regional Banks,S&P 600,109.7,75,39,32,57
340,AAWW,Industrials,Air Freight & Logistics,S&P 600,108.65,75,70,34,58
341,PFG,Financials,Life & Health Insurance,S&P 500,108.59,75,72,59,60
342,SCHL,Consumer Discretionary,Publishing,S&P 600,108.51,75,60,66,24
343,LQDT,Consumer Discretionary,Specialized Consumer Services,S&P 600,108.29,75,97,98,96
344,MET,Financials,Life & Health Insurance,S&P 500,107.93,75,66,56,71
345,PPBI,Financials,Regional Banks,S&P 600,107.72,74,53,57,81
346,KSU,Industrials,Railroads,S&P 500,107.72,74,67,67,84
347,WAFD,Financials,Thrifts & Mortgage Finance,S&P 400,107.61,74,60,44,43
348,PZZA,Consumer Discretionary,Restaurants,S&P 400,107.41,74,88,75,11
