Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
50,Credit Services,Financial Services,94.25,69,75,63,56,"YRD,AIHS,QD,SLM,ALLY,SYF,AXP,COF,ATLCP,SLMBP,SNTG,DFS,EZPW,ENVA,OMF,QFIN,MA,NISN,NICK,V,AGM,FINV,WU,FCFS,IX,BBDC,XYF,CACC,PT,GSBD,WRLD,LMFA,LC,OCSL,SNFCA,OPRT,PYPL,LX,MFIN,NNI,ATLC,NAVI,PRAA,RM,SOFI,LPRO,CPSS,UPST,PMTS,DXF,GDOT,LU,FOA"
51,Footwear & Accessories,Consumer Cyclical,93.93,69,84,89,22,"DECK,CAL,CROX,SKX,SHOO,RCKY,WEYS,VRA,WWW,NKE,FL,FORD"
52,Software—Application,Technology,93.92,68,81,73,36,"MSTR,CLSK,SSNT,COIN,PRCH,PALT,MTC,DSP,CREX,MIXT,VTEX,BLND,UBER,SNCR,FROG,ZDGE,QTWO,LYFT,DBD,PUBM,CVLT,SAP,CRM,EVBG,NOW,FICO,NTWK,GWRE,MANH,VERX,PLUS,MNDY,PEGA,HUBS,DDOG,ESTC,INTU,PTC,PCOR,SHOP,CDNS,DCBO,PHUN,SPNS,NICE,ZETA,IMMR,DSGX,WDAY,JFU,SEMR,COMP,DUOT,MNDO,CXM,NCNO,RNG,TYL,MGIC,GLOB,SSNC,YMM,TTD,PAR,MOGO,DOCU,AYX,ENV,RSKD,PRO,RPD,KARO,MITK,TEAM,DV,AZPN,RCAT,FTFT,RIOT,SPT,AWRE,JG,BSY,BLKB,PWSC,OTEX,JAMF,YALA,PD,DT,TSRI,PDFS,FRSH,PCTY,RMNI,OPFI,ZM,PRGS,BTBT,SRAD,SNOW,SMAR,MODN,MAPS,WKME,ONTF,WFCF,RDVT,SMRT,EGAN,OLO,IDN,INTA,DOMO,NRDY,ASUR,WK,YOU,INST,IBEX,ZI,LSPD,OLB,PAYC,QH,BIGC,EGHT,U,BILL,MTLS,CALX,BMTX,FSLY,MTTR,CRNC,EB,KC,MRIN,BMBL,SSTI,BCOV,OCFT,UPLD,OMQS,INTZ,GVP,XELA,OBLG,MYSZ,LAZR,VERB,SMSI,AUUD,IFBD,LPSN"
53,Consulting Services,Industrials,93.73,67,66,44,64,"GRNQ,CRAI,BAH,BWMN,ICFI,TRI,EFX,TRU,HURN,VRSK,FCN,FC,RGP,EXPO,FORR"
54,Conglomerates,Industrials,93.17,67,72,62,57,"NNBR,BBU,CODI,IRS,CRESY,IGC,SPLP,TRC,STCN,SEB,IEP,MATW"
55,Semiconductors,Technology,92.98,66,90,86,54,"NVDA,AAOI,QUIK,PXLW,AMD,ONTO,AVGO,TSM,GSIT,QCOM,ASX,MU,MPWR,FORM,MRVL,NXPI,SIMO,SKYT,IMOS,MTSI,AMKR,INTC,SGH,QRVO,CRUS,NVEC,MCHP,ADI,RMBS,TXN,UMC,SYNA,MRAM,LASR,WKEY,SLAB,SWKS,STM,LSCC,CEVA,SMTC,TSEM,VSH,HIMX,ON,POWI,ALGM,AOSL,DIOD,VLN,LEDS,INTT,SITM,MXL,MX,EMKR,WOLF,SQNS,WISA"
56,Internet Retail,Consumer Cyclical,92.82,66,35,65,39,"CVNA,JMIA,QRTEP,DIBS,AMZN,QRTEA,NHTC,AKA,W,EBAY,HEPS,RVLV,PDD,CPNG,MELI,VIPS,LQDT,GLBE,IPW,WISH,BABA,SECO,NEGG,MOGU,JD,QRTEB,RERE,ETSY,BZUN,OCG,TDUP,CHWY,YJ,LITB,DADA,JWEL,PRTS"
57,Insurance—Specialty,Financial Services,92.8,65,77,68,71,"MBI,MTG,RDN,RYAN,FNF,EIG,ITIC,TIPT,ICCH,FAF,TRUP,JRVR"
58,Banksâ€”Regional,Financial Services,92.58,64,83,96,28,"AMNB,AFBI,ALRS,AMAL,ABCB,ASB,AROW,ACNB,AMTB"
59,Paper & Paper Products,Basic Materials,92.57,63,11,9,30,"SLVM,SUZ,CLW,MERC,GLT,ITP"
